ID;NUMCENS;Ejercicio;Fecha_Alta_Baja;Estado
178136;31;1988;1987-4-01;Baja
178137;32;1988;1987-5-15;Alta
178138;33;1988;1987-5-15;Alta
178139;34;1988;1987-4-01;Baja
178140;35;1988;1987-5-15;Alta
178141;36;1988;1987-5-15;Alta
178146;42;1988;1987-5-15;Alta
178149;45;1988;1987-5-15;Alta
178150;46;1988;1987-5-15;Alta
178154;51;1988;1987-5-15;Alta
178155;52;1988;1987-4-01;Baja
178161;58;1988;1987-5-15;Alta
178166;64;1988;1987-5-15;Alta
178170;74;1988;1987-5-15;Alta
178173;79;1988;1987-4-01;Baja
178179;87;1988;1987-5-15;Alta
178180;88;1988;1987-5-15;Alta
178185;94;1988;1987-5-15;Alta
178191;104;1988;1987-4-01;Baja
178201;119;1988;1987-4-01;Baja
178204;122;1988;1987-4-01;Baja
178206;126;1988;1987-4-01;Baja
178217;137;1988;1987-4-01;Baja
178220;142;1988;1987-5-15;Alta
178221;144;1988;1987-5-15;Alta
178222;147;1988;1987-4-01;Baja
178224;150;1988;1987-5-15;Alta
178225;151;1988;1987-5-15;Alta
178229;158;1988;1987-5-15;Alta
178230;159;1988;1987-5-15;Alta
178240;176;1988;1987-5-15;Alta
178243;181;1988;1987-4-01;Baja
178244;182;1988;1987-5-15;Alta
178245;183;1988;1987-5-15;Alta
178251;193;1988;1987-5-15;Alta
178252;194;1988;1987-4-01;Baja
178260;207;1988;1987-5-15;Alta
178265;216;1988;1987-5-15;Alta
178268;224;1988;1987-5-15;Alta
178269;225;1988;1987-5-15;Alta
178274;232;1988;1987-4-01;Baja
178277;236;1988;1987-5-15;Alta
178278;237;1988;1987-5-15;Alta
178286;246;1988;1987-5-15;Alta
178288;250;1988;1987-5-15;Alta
178295;257;1988;1987-4-01;Baja
178297;260;1988;1987-5-15;Alta
178300;263;1988;1987-4-01;Baja
178301;264;1988;1987-4-01;Baja
178302;265;1988;1987-4-01;Baja
178309;273;1988;1987-5-15;Alta
178318;285;1988;1987-5-15;Alta
178319;286;1988;1987-5-15;Alta
178325;295;1988;1987-5-15;Alta
178326;296;1988;1987-4-01;Baja
178327;297;1988;1987-4-01;Baja
178334;308;1988;1987-4-01;Baja
178337;311;1988;1987-5-15;Alta
178338;312;1988;1987-5-15;Alta
178341;315;1988;1987-5-15;Alta
178348;322;1988;1987-4-01;Baja
178368;353;1988;1987-4-01;Baja
178374;369;1988;1987-5-15;Alta
178375;370;1988;1987-5-15;Alta
178377;372;1988;1987-5-15;Alta
178378;373;1988;1987-4-01;Baja
178387;382;1988;1987-5-15;Alta
178389;384;1988;1987-5-15;Alta
178396;391;1988;1987-5-15;Alta
178399;394;1988;1987-5-15;Alta
178410;408;1988;1987-4-01;Baja
178412;411;1988;1987-4-01;Baja
178418;419;1988;1987-5-15;Alta
178474;529;1988;1987-5-15;Alta
178510;583;1988;1987-5-15;Alta
178542;620;1988;1987-4-01;Baja
178622;1;1989;1988-5-15;Alta
178623;2;1989;1988-5-15;Alta
178639;21;1989;1988-5-15;Alta
178646;28;1989;1988-4-01;Baja
178647;31;1989;1988-5-15;Alta
178648;32;1989;1988-5-15;Alta
178649;33;1989;1988-5-15;Alta
178650;34;1989;1988-4-01;Baja
178651;35;1989;1988-5-15;Alta
178652;36;1989;1988-5-15;Alta
178657;42;1989;1988-4-01;Baja
178660;45;1989;1988-5-15;Alta
178661;46;1989;1988-5-15;Alta
178665;51;1989;1988-5-15;Alta
178666;52;1989;1988-4-01;Baja
178672;58;1989;1988-5-15;Alta
178677;64;1989;1988-5-15;Alta
178681;74;1989;1988-5-15;Alta
178684;79;1989;1988-4-01;Baja
178690;87;1989;1988-5-15;Alta
178691;88;1989;1988-5-15;Alta
178696;94;1989;1988-5-15;Alta
178702;104;1989;1988-4-01;Baja
178712;119;1989;1988-4-01;Baja
178715;122;1989;1988-4-01;Baja
178717;126;1989;1988-4-01;Baja
178728;137;1989;1988-4-01;Baja
178731;142;1989;1988-5-15;Alta
178732;144;1989;1988-5-15;Alta
178733;147;1989;1988-4-01;Baja
178735;150;1989;1988-5-15;Alta
178736;151;1989;1988-5-15;Alta
178740;158;1989;1988-5-15;Alta
178741;159;1989;1988-5-15;Alta
178751;176;1989;1988-5-15;Alta
178754;181;1989;1988-4-01;Baja
178755;182;1989;1988-5-15;Alta
178756;183;1989;1988-5-15;Alta
178762;193;1989;1988-5-15;Alta
178763;194;1989;1988-4-01;Baja
178771;207;1989;1988-5-15;Alta
178776;216;1989;1988-5-15;Alta
178779;224;1989;1988-5-15;Alta
178780;225;1989;1988-5-15;Alta
178785;232;1989;1988-4-01;Baja
